pid,label,site_name,occupied,collection_number,material,description,motifs,teeth,fragmentation,context_type,gender,age,placement,length (cm),width (cm),order,layout,collection,thumbnail,full,manifest
1,California Ranch,California Ranch,1550-1570,RMSC 2000 1/185,bone,190. Full comb. Its handle has a rounded triangular shape with wavy edges and hollowed out center. It has five teeth that form 45% of its length. It measures 8.1 cm in length and 2.7 cm in width. This comb comes from the Seneca Califoria Ranche site dating from 1540 to 1560 AD. (RMSC 2000 1/185,triangular;,5,complete,unk,,,,8.1,2.7,000,qatar_item,combs,"/img/derivatives/iiif/images/1/full/250,/0/default.jpg","/img/derivatives/iiif/images/1/full/1140,/0/default.jpg",/img/derivatives/iiif/1/manifest.json
2,California Ranch,California Ranch,1550-1570,RMSC 12024/185,bone,286. Incomplete comb in andouiller. The handle is carved in an abstract shape reminiscent of two herons facing each other separated by a stud. He had 4 teeth all broken. It has a residual length of 3.5 cm and a width of 3.4 cm. It comes from the seneca site of Califomia Ranche dating from 1540-1560 AD. J.-C. (RMSC 12024/185,bird; dual; heron; symmetrical; column;,4,incomplete,unk,,,,3.5,3.4,001,qatar_item,combs,"/img/derivatives/iiif/images/2/full/250,/0/default.jpg","/img/derivatives/iiif/images/2/full/1140,/0/default.jpg",/img/derivatives/iiif/2/manifest.json
3,Richmond Mills,Richmond Mills,1550-1570,NYSM 35338,bone,$9. Complete comb made of bear or deer bones. It has four ringed teeth that form 45% of its total length. Its handle is carved and represents a snipe in profile. It comes from the Town ofRichmond site and is of Seneca origin. 11 dates from the sixteenth century. (NYSM 35338 - on display,bird; single; snipe;,4,complete,unk,,,,,,002,qatar_item,combs,"/img/derivatives/iiif/images/3/full/250,/0/default.jpg","/img/derivatives/iiif/images/3/full/1140,/0/default.jpg",/img/derivatives/iiif/3/manifest.json
4,Richmond Mills,Richmond Mills,1550-1570,NYSM 34584,bone,90. Complete comb made from human bone. It has four teeth and its handle is rounded to form an arch. It has three perforations in the top. The base of the comb is incised with four horizontal lines. It has four teeth that form 55% of its length. It is of Seneca origin and comes from the Richmond site dating from the sixteenth century. (NYSM 34584),arbor;,4,complete,unk,,,,,,003,qatar_item,combs,"/img/derivatives/iiif/images/4/full/250,/0/default.jpg","/img/derivatives/iiif/images/4/full/1140,/0/default.jpg",/img/derivatives/iiif/4/manifest.json
5,Richmond Mills,Richmond Mills,1550-1570,NYSM 15792,bone,92. Full comb made of deer bone Its elongated handle is rounded up. It has a perforation in the center of the handle. It has three teeth that form 54% of its total length. It comes from the seneca Richmond site dating from the sixteenth century. (NYSM 15792),none;,3,complete,unk,,,,,,004,qatar_item,combs,"/img/derivatives/iiif/images/5/full/250,/0/default.jpg","/img/derivatives/iiif/images/5/full/1140,/0/default.jpg",/img/derivatives/iiif/5/manifest.json
6,Richmond Mills,Richmond Mills,1550-1570,RMSC AR 26213,bone,130. Incomplete comb. Its handle is triangular and hollowed out. It had three teeth that form 50% of its total height It has a length of 6.2 cm and a width of about 2.5 cm. It comes from the seneca site of Richmond Miils dating from the sixteenth century. (RMSC AR 26213). (Wray 1991: 45,triangular;,3,incomplete,unk,,,,6.2,2.5,005,qatar_item,combs,"/img/derivatives/iiif/images/6/full/250,/0/default.jpg","/img/derivatives/iiif/images/6/full/1140,/0/default.jpg",/img/derivatives/iiif/6/manifest.json
7,Richmond Mills,Richmond Mills,1550-1570,,bone,181. Incomplete comb made from andouiller. Its handle is rounded and has a perforation in the top. It has four teeth that form 60% of its length. It comes from the seneca site of Richmond Milis which dates from the fifteenth century. (Parker 1920,none;,4,incomplete,unk,,,,,,006,qatar_item,combs,"/img/derivatives/iiif/images/7/full/250,/0/default.jpg","/img/derivatives/iiif/images/7/full/1140,/0/default.jpg",/img/derivatives/iiif/7/manifest.json
8,Richmond Mills,Richmond Mills,1550-1570,RMSC 7128/101,bone,212. Complete comb having five teeth forming 56% of the length of the comb. Rectangular handle undecorated perforated in the top center. It comes from the seneca Site Richmond Miils dating from the fifteenth century. (RMSC 7128/101),none;,5,complete,unk,,,,,,007,qatar_item,combs,"/img/derivatives/iiif/images/8/full/250,/0/default.jpg","/img/derivatives/iiif/images/8/full/1140,/0/default.jpg",/img/derivatives/iiif/8/manifest.json
9,Richmond Mills,Richmond Mills,1550-1570,RMSC AR 19221,bone,295. Complete comb in andouiller. Its symmetrically carved handle depicts two bears facing each other joined by the front legs and muzzle. It has five teeth which represent 55% of its total length which is about 10.3 cm. Its width is about 3.6 cm. This comb comes from the Seneca Richmond Mills site dating from the sixteenth century AD. (RMSC AR 19221) (Parker 1920,mammal; bear; dual; symmetrical;,5,complete,unk,,,,10.3,3.6,008,qatar_item,combs,"/img/derivatives/iiif/images/9/full/250,/0/default.jpg","/img/derivatives/iiif/images/9/full/1140,/0/default.jpg",/img/derivatives/iiif/9/manifest.json
10,Richmond Mills,Richmond Mills,1550-1570,RMSC AR 26220,bone,434. Comb tooth from the sixteenth-century seneca Richmond Miils site. (RMSC AR 26220,none;,,fragment,unk,,,,,,009,qatar_item,combs,"/img/derivatives/iiif/images/10/full/250,/0/default.jpg","/img/derivatives/iiif/images/10/full/1140,/0/default.jpg",/img/derivatives/iiif/10/manifest.json
